method,max_value,time_ms,gcd,a,b
naive,1000,0,3,66,747
euclid,1000,0,3,66,747
naive,1000,0,1,499,50
euclid,1000,0,1,499,50
naive,1000,0,1,569,172
euclid,1000,0,1,569,172
naive,1000,0,4,752,556
euclid,1000,0,4,752,556
naive,1000,0,1,860,33
euclid,1000,0,1,860,33
naive,10000,0,1,8408,8869
euclid,10000,0,1,8408,8869
naive,10000,0,1,2507,8012
euclid,10000,0,1,2507,8012
naive,10000,0,4,1004,4400
euclid,10000,0,4,1004,4400
naive,10000,0,3,471,7800
euclid,10000,0,3,471,7800
naive,10000,0,1,1571,5007
euclid,10000,0,1,1571,5007
naive,100000,0,1,66247,85803
euclid,100000,0,1,66247,85803
naive,100000,0,1,63683,38064
euclid,100000,0,1,63683,38064
naive,100000,0,5,11845,23470
euclid,100000,0,5,11845,23470
naive,100000,0,1,87925,85208
euclid,100000,0,1,87925,85208
naive,100000,0,1,98037,46510
euclid,100000,0,1,98037,46510
euclid,1000000,0,2,660476,500678
euclid,1000000,0,2,459762,669656
euclid,1000000,0,1,437413,992716
euclid,1000000,0,2,803236,107486
euclid,1000000,0,1,919208,159633
euclid,1000000000,0,1,123195837,263152483
euclid,1000000000,0,5,618228755,388376720
euclid,1000000000,0,4,942420720,197076316
euclid,1000000000,0,3,388458069,49766907
euclid,1000000000,0,1,445624459,728170479
euclid,1000000000000,0,1,203302856661,812256977750
euclid,1000000000000,0,1,195207744367,698107383752
euclid,1000000000000,0,1,832853588576,191328697323
euclid,1000000000000,0,1,659131521683,494252734054
euclid,1000000000000,0,2,924745500982,685174129492
